單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句1(Sentence1),例句1中譯(Translation1),例句2(Sentence2),例句2中譯(Translation2)
go,去/前進/出發,Actions,/ɡoʊ/,3,go,We will go for a hike in Yangmingshan this weekend.,我們這週末要去陽明山健行。,Let's go to the school library to borrow books.,我們去學校圖書館借書吧。
get,得到/獲得/到達/拿到,Actions,/ɡet/,3,get,I hope you can get good grades on the test.,我希望你考試能取得好成績。,Did you get a gold star on your homework today?,你今天的作業有得到金星獎章嗎？
cry,哭/哭泣/叫喊,Actions,/kraɪ/,3,cry,The little baby started to cry because he was hungry.,小嬰兒開始哭泣，因為他餓了。,The little baby stopped crying when mother held her.,當媽媽抱著她時，小嬰兒停止了哭泣。
hit,打/擊中/打擊,Actions,/hɪt/,3,hit,He hit the baseball with his new bat yesterday.,他昨天用他的新球棒擊中了棒球。,Benson hit the baseball far into the grass field.,班森把棒球遠遠地擊入草地裡。
put,放置/擺放,Actions,/pʊt/,3,put,Please put the dirty clothes into the laundry basket.,請把髒衣服放進洗衣籃裡。,Please put your English books back into your schoolbag.,請把你的英文書放回書包裡。
see,看見/看到/明白,Actions,/siː/,3,see,I can see a beautiful rainbow over the mountain.,我能看到山那邊有一道美麗的彩虹。,I see a beautiful blue bird singing in the tree.,我看見一隻美麗的藍鳥在樹上唱歌。
sit,坐/坐下,Actions,/sɪt/,3,sit,"Sit down and listen to the teacher carefully, please.",請坐好並仔細聽老師說話。,Sit down on your chair and get ready for class.,坐在你的椅子上準備上課。
try,嘗試/努力/試圖,Actions,/traɪ/,3,try,You should try to practice speaking English every day.,你應該嘗試每天練習說英文。,Always try your best even if the question is hard.,即使問題很難，也要總是盡力而為。
call,呼叫/打電話/打給/稱呼,Actions,/kɑːl/,3,call,I will call you when I arrive at the station.,我抵達車站後會打電話給你。,We can call our grandparents to say hello.,我們可以打電話給我們的祖父母問好。
come,來/來到,Actions,/kʌm/,3,come,Please come to my house and play games this Saturday.,這星期六請來我家玩遊戲。,Please come to my desk and share this storybook.,請到我的書桌旁一起分享這本故事書。
find,尋找/發現/找到,Actions,/faɪnd/,3,find,Did you find the key to your desk drawer?,你找到你的書桌抽屜鑰匙了嗎？,I found my lost blue marker under the desk.,我在書桌底下找到了我遺失的藍色白板筆。
feel,感覺/覺得/觸摸,Actions,/fiːl/,3,feel,I feel very happy because tomorrow is my birthday.,我感到非常高興，因為明天是我的生日。,I feel very happy when I play soccer with friends.,當我和朋友踢足球時，我感到很高興。
have,擁有/有/吃,Actions,/hæv/,3,have,We have a fun art class every Wednesday morning.,我們每個星期三早上有一節有趣的美術課。,Do you have any questions about this English word?,你對這個英文單字有任何疑問嗎？
help,幫助/幫忙/協助,Actions,/help/,3,help,Can you help me clean the blackboard after class?,下課後你能幫我擦黑板嗎？,My brother helps me pack my heavy schoolbag.,我哥哥幫我整理我重重的書包。
hope,希望/盼望,Actions,/hoʊp/,3,hope,I hope the weather turns sunny for our picnic tomorrow.,我希望明天的天氣放晴以便我們去野餐。,I hope you have a happy and wonderful weekend.,我希望你度過一個快樂而美好的週末。
hurt,受傷/疼痛/傷害,Actions,/hɝːt/,3,hurt,He fell off his bike and hurt his right knee.,他從腳踏車上摔下來，弄傷了右膝蓋。,He hurt his knee when he fell on the playground.,他在操場上跌倒時弄傷了膝蓋。
know,知道/認識/了解,Actions,/noʊ/,3,know,Do you know how to write this difficult English word?,你知道怎麼寫這個難懂的英文單字嗎？,I know how to write all the spelling words today.,我知道今天所有的拼字怎麼寫。
like,喜歡/像,Actions,/laɪk/,3,like,I like reading interesting stories about space and stars.,我喜歡讀關於太空和星星的有趣故事。,I like to draw flowers and trees in my notebook.,我喜歡在我的筆記本上畫花和樹木。
look,看/看起來/注視,Actions,/lʊk/,3,look,Look at those fluffy white clouds floating in sky.,看天空中漂浮的那些蓬鬆白雲。,Look at the colorful butterfly sitting on the rose.,看那隻停在玫瑰上的彩色蝴蝶。
love,愛/熱愛/喜愛,Actions,/lʌv/,3,love,Children love to play in the cool water during summer.,孩子們夏天熱愛在涼爽的水中玩耍。,We love our warm family and supportive classmates.,我們愛我們溫馨的家庭和互相支持的同學。
meet,遇見/會面/迎接,Actions,/miːt/,3,meet,We will meet at the park entrance at nine o'clock.,我們九點鐘在公園門口碰面。,I will meet my friends at the park gate at nine.,我九點會在公園門口和朋友碰面。
miss,想念/錯過,Actions,/mɪs/,3,miss,I will miss my friendly classmates during summer holiday.,暑假期間我會想念我的友善同學。,I will miss my friendly teacher during summer holidays.,暑假期間我會想念我那友善的老師。
need,需要/必須,Actions,/niːd/,3,need,We need to buy some fresh eggs to bake the cake.,我們需要買一些新鮮雞蛋來烤蛋糕。,I need some clean paper to write my homework.,我需要一些乾淨的紙寫作業。
open,打開/開的/營業的,Actions,/ˈoʊ.pən/,3,open,Please open the window to let the fresh air in.,請打開窗戶讓新鮮空氣進來。,Please open your workbook and read page three aloud.,請打開你的練習本/習作並大聲朗讀第三頁。
stop,停止/站牌/車站,Actions,/stɑːp/,3,stop,The yellow school bus stops in front of the gate.,黃色校車停在大門前面。,The cars must stop when the traffic light turns red.,當紅綠燈變紅時，汽車必須停止。
tell,告訴/講述/吩咐,Actions,/tel/,3,tell,Can you tell me the way to the school library?,你能告訴我前往學校圖書館的路嗎？,My grandmother likes to tell us interesting stories.,我祖母很喜歡給我們講有趣的故事。
wait,等待/等候,Actions,/weɪt/,3,wait,Wait for me at the post office after school.,放學後在郵局等我。,Please wait for me near the school library gate.,請在學校圖書館門口附近等我。
walk,散步/走路,Actions,/wɑːk/,3,walk,We walk to school together every morning.,我們每天早上一起走路去學校。,I walk home with my classmates after school.,放學後我和同學一起走路回家。
want,想要/需要,Actions,/wɑːnt/,3,want,I want to buy a box of chocolate cookies.,我想買一盒巧克力餅乾。,I want to draw a picture of a giant elephant.,我想畫一張大象的畫。
give,給/給予/贈送,Actions,/ɡɪv/,3,give,Please give me the red marker on the desk.,請把書桌上的紅色麥克筆給我。,Please give this green pencil case to your sister.,請把這個綠色筆袋給你妹妹/姊姊。
make,製作/做/使,Actions,/meɪk/,3,make,We will make a paper kite in art class tomorrow.,我們明天美術課要做一個紙風箏。,We make healthy salad together in our cooking class.,我們在烹飪課上一起製作健康的沙拉。
brush,刷/刷子/畫筆/刷淨,Actions,/brʌʃ/,3,brush,Remember to brush your teeth before going to bed.,記得睡前要刷牙。,Remember to brush your teeth before going to sleep.,記得在睡覺前刷牙。
hurry,趕快/急忙,Actions,/ˈhɝː.i/,3,hur/ry,"Hurry up, the school bus is coming down the road.",快點，校車已經開過來了。,"Please hurry, or we will be late for class.",請快一點，否則我們上課會遲到。
laugh,笑/大笑,Actions,/læf/,3,laugh,The funny cartoon made all the children laugh out loud.,有趣的卡通讓所有的孩子大笑出聲。,His funny facial expressions make everyone laugh.,他滑稽的表情逗得每個人哈哈大笑。
close,關閉/關上/接近的,Actions,/kloʊz/,3,close,Please close the bedroom door quietly when you leave.,離開時請輕輕地關上臥室門。,The supermarket will close in ten minutes.,超級市場將在十分鐘內關門。
show,給...看/展示/表演,Actions,/ʃoʊ/,3,show,Please show me your beautiful drawings after class.,下課後請展示你美麗的畫作給我看。,Let's show our appreciation to our parents today.,今天讓我們向父母表達我們的感謝。
sleep,睡覺/睡眠,Actions,/sliːp/,3,sleep,Baby pandas sleep for many hours every single day.,貓熊寶寶每天都要睡很多個小時。,I always sleep with my soft puppy plush toy.,我總是抱著我柔軟的小狗玩偶睡覺。
smell,聞起來/氣味,Actions,/smel/,3,smell,These fresh flowers in the garden smell very sweet.,花園裡的這些鮮花聞起來非常香甜。,The fresh baked bread smells absolutely wonderful.,剛烤好的麵包聞起來真是香極了。
stand,站立/站/看台,Actions,/stænd/,3,stand,Please stand up when the teacher enters the classroom.,當老師進入教室時請站起來。,We stand in a straight line to wait for the schoolbus.,我們排成一直線等待校車。
start,開始/出發,Actions,/stɑːrt/,3,start,The English movie will start in five minutes.,這部英文電影將在五分鐘內開始。,Let's start our day with a warm smile.,讓我們用溫暖的微笑開始我們的一天。
take,拿取/攜帶/搭乘/花費(時間),Actions,/teɪk/,3,take,Remember to take your warm jacket with you today.,今天記得隨身帶上你溫暖的外套。,It takes me fifteen minutes to walk to school.,我走路去學校花費十五分鐘。
thank,感謝/謝謝,Actions,/θæŋk/,3,thank,I want to thank my teacher for helping me.,我要感謝老師對我的幫助。,We should thank the school doctor for checking our health.,我們應該感謝校醫為我們檢查身體健康。
touch,觸碰/碰,Actions,/tʌtʃ/,3,touch,Please do not touch the clean glass window.,請不要觸碰乾淨的玻璃窗。,Do not touch the hot soup; it might burn you.,不要碰熱湯，它可能會燙傷你。
wake,醒來/喚醒,Actions,/weɪk/,3,wake,My mom wakes me up at seven o'clock every morning.,我媽媽每天早上七點鐘喚醒我。,I wake up early to see the beautiful sunrise.,我早起觀賞美麗的日出。
worry,擔心/憂慮,Actions,/ˈwɝː.i/,3,wor/ry,"Do not worry, we still have enough time to finish.",不用擔心，我們仍有充足的時間來完成。,"Do not worry about the game, just do your best.",不要擔心比賽，盡力而為就好。
enjoy,享受/喜愛,Actions,/ɪnˈdʒɔɪ/,3,en/joy,We enjoy reading English books in the library.,我們喜歡在圖書館讀英文書。,We enjoy the cool breeze on the summer beach.,我們享受夏日海灘上的涼爽微風。
welcome,歡迎/受歡迎的,Interjections,/ˈwel.kəm/,3,wel/come,You are always welcome to join our sports club.,非常歡迎你加入我們的體育社團。,We welcome the new student to join our class.,我們歡迎新同學加入我們班。
pick up,拾起/接送/撿起,Actions,/pɪk ʌp/,3,pick/up,Please pick up the paper trash on the classroom floor.,請撿起教室地板上的紙屑垃圾。,Please pick up your crayons from the floor.,請把你的蠟筆從地板上撿起來。
OK,好的/可以的,Interjections,/oʊˈkeɪ/,3,OK,Is it OK to play soccer on the grass?,在草地上踢足球可以嗎？,Is it OK if I use your blue pencil case?,我可以用你的藍色鉛筆盒嗎？
easy,簡單的/容易的,Adjectives,/ˈiː.zi/,3,easy,"This spelling test is very easy, and I got ten points.",這個拼字測驗非常簡單，我拿了十分。,Solving this riddle is easy if you read it carefully.,如果你仔細閱讀，解開這個謎題很容易。
fine,好的/晴朗的/細緻的/罰款,Adjectives,/faɪn/,3,fine,"The weather is fine today, let us go hiking.",今天天氣晴朗，我們去健行吧。,"I am feeling fine today, thank you for asking.",我今天感覺很好，謝謝你的詢問。
hard,困難的/堅硬的/努力地,Adjectives,/hɑːrd/,3,hard,He works hard to practice playing the piano daily.,他每天努力練習彈鋼琴。,The shell of a coconut is very hard to open.,椰子的殼非常堅硬，很難打開。
only,只有/僅有的/唯一的,Adjectives,/ˈoʊn.li/,3,on/ly,I have only one red pen in my pencil case.,我筆袋裡只有一支紅色原子筆。,He is the only student who knows the answer.,他是唯一一個知道答案的學生。
sure,確定的/當然,Adjectives,/ʃʊr/,3,sure,Are you sure you put the keys in your pocket?,你確定有把鑰匙放在你的口袋裡嗎？,I am sure we will have a great time at the zoo.,我確定我們在動物園會玩得很高興。
dirty,骯髒的/髒的,Adjectives,/ˈdɝː.ti/,3,dirty,Wash your dirty hands with soap before dinner.,晚餐前用肥皂清洗你髒髒的手。,Please put your dirty socks into the laundry bag.,請把你的髒襪子放進洗衣袋裡。
great,很棒的/巨大的/偉大的,Adjectives,/ɡreɪt/,3,great,Having a picnic in the park is a great idea.,在公園野餐是個極棒的主意。,My grandparents tell great stories about their childhood.,我祖父母講了許多關於他們童年的精彩故事。
other,其他的/另外的,Adjectives,/ˈʌð.ɚ/,3,oth/er,Where are the other students of our class?,我們班上的其他學生在哪裡？,"Some students like art, while others prefer PE.",有些學生喜歡美勞，而另外一些則更偏愛體育。
quiet,安靜的/沉靜的,Adjectives,/ˈkwaɪ.ət/,3,qui/et,"The library is very quiet, so walk slowly.",圖書館非常安靜，所以請放輕腳步。,We must stay quiet when the teacher is speaking.,老師在說話時我們必須保持安靜。
ready,準備好的/樂意的,Adjectives,/ˈred.i/,3,ready,Are you ready for the spelling contest tomorrow?,你為明天的拼字比賽準備好了嗎？,The team is ready to compete in the race.,隊伍已經準備好參加比賽了。
wonderful,極好的/精彩的/奇妙的,Adjectives,/ˈwʌn.dɚ.fəl/,3,won/der/ful,We had a wonderful time at the zoo yesterday.,我們昨天在動物園度過了美好的時光。,It is a wonderful thing to share with others.,與他人分享是一件極好的事。
favorite,最喜愛的/最喜歡的,Adjectives,/ˈfeɪ.vər.ɪt/,3,fa/vorite,Benson's favorite sport is playing baseball with friends.,班森最喜愛的運動是和朋友打棒球。,Vanilla ice cream is my sister's favorite summer dessert.,香草冰淇淋是我妹妹最喜愛的夏季甜點。
no,不/沒有,Interjections,/noʊ/,3,no,There is no milk left in the refrigerator.,冰箱裡沒有剩下任何牛奶了。,No student should run in the narrow hallways.,學生不應該在狹窄的走廊上奔跑。
so,如此/所以/那麼,Other adverbs,/soʊ/,3,so,"It was raining, so we stayed home all day.",那時正下著雨，所以我們整天待在家。,"I was very thirsty, so I drank a glass of water.",我很渴，所以我喝了一杯水。
yes,是/是的,Interjections,/jes/,3,yes,"Yes, I can speak English and Chinese very well.",是的，我會說英文和中文而且說得很好。,"Yes, I would love to join the sports club.",是的，我很樂意加入這個體育社團。
too,也/太,Other adverbs,/tuː/,3,too,"I bought a blue pen, and my brother bought one too.",我買了一支藍色原子筆，我哥哥也買了一支。,This schoolbag is too heavy for me to carry alone.,這個書包太重了，我一個人背不動。
very,非常地/很,Other adverbs,/ˈver.i/,3,very,The weather in winter is very cold in Taipei.,台北冬天的天氣非常寒冷。,The math teacher is very kind and patient with us.,數學老師對我們非常親切且有耐心。
then,然後/那時/那麼,Other adverbs,/ðen/,3,then,We finished our homework and then went to play.,我們完成了功課，然後出去玩。,"First finish your homework, and then you can play.",先做完功課，然後你就可以去玩了。
still,仍然/仍然的/靜止的,Other adverbs,/stɪl/,3,still,The bird is still sitting on the tree branch.,那隻鳥仍然停在樹枝上。,"Even on rainy days, we can still learn at home.",即使下雨天，我們仍然可以在家學習。
not,不/沒有,Other adverbs,/nɑːt/,3,not,She is not at home; she went to the bookstore.,她不在家，她去書店了。,This blue pencil is not mine; it belongs to Benson.,這支藍色鉛筆不是我的，它是班森的。
never,從不/絕不,Other adverbs,/ˈnev.ɚ/,3,nev/er,My sister has never ridden a bicycle before.,我妹妹以前從未騎過腳踏車。,Never give up when you face a difficult problem.,當你面對困難問題時，絕不要放棄。
away,離開/離去/遠離,Other adverbs,/əˈweɪ/,3,away,Please put away your toys before going to bed.,睡覺前請收好你的玩具。,An apple a day keeps the doctor away.,一天一蘋果，醫生遠離我。
always,總是/經常,Other adverbs,/ˈɑːl.weɪz/,3,al/ways,He always washes his hands before eating lunch.,他吃午餐前總是洗手。,Remember to always do your best in school.,記住在學校要總是盡力而為。
together,一起/共同,Other adverbs,/təˈɡeð.ɚ/,3,to/geth/er,We studied English together at the library yesterday.,我們昨天在圖書館一起學習英文。,Let's play and study together to learn faster.,讓我們一起學習和玩耍以更快地學習。
again,再次/重新/又,Other adverbs,/əˈɡen/,3,again,Can you read this interesting story for me again?,你能再為我讀一遍這個有趣的故事嗎？,Let's read the storybook again to learn more words.,讓我們重新讀一遍故事書以學習更多單字。
maybe,也許/大概/可能,Other adverbs,/ˈmeɪ.bi/,3,maybe,Maybe we can visit the zoo next Saturday morning.,也許我們下星期六早上可以造訪動物園。,Maybe we can go hiking in the park next Saturday.,也許我們下個星期六可以去公園健行。
really,真正地/實在/很,Other adverbs,/ˈrɪ.li/,3,re/al/ly,The chocolate cake Grandma made was really yummy.,阿嬤做的巧克力蛋糕真的非常美味。,The story Grandma told us was really interesting.,阿嬤跟我們講的故事真的很有趣。
sometimes,有時候/偶爾,Other adverbs,/ˈsʌm.taɪmz/,3,some/times,Sometimes we go for a walk in park after dinner.,有時候我們晚餐後會去公園散步。,Sometimes we go hiking in the mountains on weekends.,有時候我們在週末去山上健行。
usually,通常/平常,Other adverbs,/ˈjuː.ʒu.ə.li/,3,usu/al/ly,I usually read storybooks before going to sleep.,我通常在睡覺前讀故事書。,I usually do my homework right after coming home.,我通常一回到家就立刻寫功課。
how,如何/怎麼樣/多麼,Wh-words,/haʊ/,3,how,How do you spell this long English word?,你怎麼拚寫這個長英文單字？,"How do you spell your English name, please?",請教一下，你的英文名字怎麼拼？
who,誰(主格),Wh-words,/huː/,3,who,Who is the boy sitting next to the teacher?,坐在老師旁邊的那個男孩是誰？,Who is the teacher standing near the school gate?,站在校門口附近的老師是誰？
why,為什麼,Wh-words,/waɪ/,3,why,Why are you late for class this morning?,你今天早上上課為什麼遲到？,Why did you choose this beautiful red book?,你為什麼選擇這本美麗的紅書？
what,什麼,Wh-words,/wɑːt/,3,what,"What is your favorite color, blue or green?",你最喜歡什麼顏色，藍色還是綠色？,What are you going to draw in art class today?,你今天美勞課打算畫什麼？
when,當...之時/何時,Wh-words,/wen/,3,when,When does the school library open on weekends?,學校圖書館在週末幾點開放？,I feel happy when I learn new English words.,當我學習新的英文單字時，我感到很高興。
where,哪裡/何處,Wh-words,/wer/,3,where,Where did you buy this cute dog notebook?,你在哪裡買的這本可愛的狗筆記本？,Where did you put your school English homework?,你把學校英文功課放在哪裡了？
which,哪一個/哪些的,Wh-words,/wɪtʃ/,3,which,Which book do you want to read tonight?,你今晚想讀哪一本書？,"Which crayon do you want to use, red or blue?",你想用哪一支蠟筆，紅色還是藍色？
whose,誰的(所有格),Wh-words,/huːz/,3,whose,Whose pencil case is this on the floor?,地板上的這個筆袋是誰的？,Whose blue pencil box is this under the table?,桌子底下這藍色鉛筆盒是誰的？
o,噢(感嘆詞),Wh-words,/oʊ/,3,o,O is a letter in the alphabet.,O 是字母表中的一個字母。,O! Look at the beautiful rainbow over the mountain.,噢！看那山上的美麗彩虹。
e,網際網路/e化,Wh-words,/iː/,3,e,E is the fifth letter of the alphabet.,E 是字母表中的第五個字母。,We use e-books to read English stories at school.,我們在學校用電子書來閱讀英文故事。
phonics,自然發音/字母拼讀法,Wh-words,/ˈfɑː.nɪks/,3,phon/ics,Phonics helps us learn how to pronounce words.,自然拼讀幫助我們學習如何發音單字。,Learning phonics helps us spell English words easily.,學習自然發音/字母拼讀法可以幫助我們輕鬆拼寫英文單字。
Expansion,拓展/擴大/擴展,Wh-words,/ɪkˈspæn.ʃən/,3,Ex/pan/sion,This book is an expansion of the first story.,這本書是第一個故事的擴展。,The expansion of the school library brings more storybooks.,學校圖書館的擴建帶來了更多故事書。
Page,頁/頁碼,Wh-words,/peɪdʒ/,3,Page,Please turn to page ten of the textbook.,請翻到教科書的第十頁。,Please open your workbook to page ten and start reading.,請打開你的練習本/習作第十頁並開始閱讀。
is,是(單數動詞),Be & Auxiliaries,/ɪz/,3,is,My brother is the tallest boy in his class.,我哥哥是他班上最高挑的男孩。,My friendly puppy is playing with a small ball.,我那隻友善的小狗正在玩一顆小球。
am,是(第一人稱單數動詞),Be & Auxiliaries,/æm/,4,am,I am very excited about the school trip tomorrow.,我對明天的學校旅行感到非常興奮。,I am very happy to see my classmates again today.,我今天很高興能再次見到我的同學們。
are,是(複數與第二人稱動詞),Be & Auxiliaries,/ɑːr/,4,are,The children are playing tag in the park happily.,孩子們正在公園裡高興地玩捉人遊戲。,They are cleaning the classroom floor together.,他們正在一起打掃教室地板。
eight,八/八個,Numbers,/eɪt/,4,eight,We have eight classes in total every school day.,我們每個上學日總共有八節課。,Eight white swans are swimming in the calm lake.,八隻白天鵝正在平靜的湖面游泳。
eleven,十一/十一個,Numbers,/ɪˈlev.ən/,4,eleven,There are eleven players on the soccer field.,足球場上有十一名球員。,There are eleven players in a soccer team.,足球隊裡有十一名球員。
five,五/五個,Numbers,/faɪv/,4,five,I bought five notebooks from the bookstore.,我從書店買了五本筆記本。,He gave me five crayons of different colors.,他給了我五支不同顏色的蠟筆。
nine,九/九個,Numbers,/naɪn/,4,nine,The school library closes at nine o'clock sharp.,學校圖書館在九點整關閉。,There are nine storybooks in my desk drawer.,我的書桌抽屜裡有九本故事書。
sad,悲傷的/難過的,Personal characteristics,/sæd/,4,sad,She felt sad because she lost her pet rabbit.,她感到很悲傷，因為她弄丟了她的寵物兔。,Do not be sad; we can try the game again.,不要難過，我們可以重新嘗試這個遊戲。
seven,七/七個,Numbers,/ˈsev.ən/,4,sev/en,There are seven days in a single week.,一週總共有七天。,She read seven English storybooks this month.,她這個月讀了七本英文故事書。
six,六/六個,Numbers,/sɪks/,4,six,He has six storybooks in his backpack.,他的背包裡有六本故事書。,We have six different subjects on Mondays.,星期一我們有六個不同的學科。
ten,十/十個,Numbers,/ten/,4,ten,The test has ten questions in total today.,今天的測驗總共有十道題。,He scored ten points in the basketball match.,他在籃球賽中拿到了十分。
twelve,十二/十二個,Numbers,/twelv/,4,twelve,December is the twelfth and last month of the year.,十二月是一年中的第十二個也是最後一個月。,Twelve months make a full year of fun.,十二個月構成充滿樂趣的一整年。
bike,腳踏車/自行車,Transportation,/baɪk/,5,bike,He rides his red bike to school every morning.,他每天早上騎著他的紅色腳踏車去上學。,I ride my red bike to school every morning.,我每天早上騎我那輛紅色的腳踏車上學。
living room,客廳,House,/ˈlɪv.ɪŋ ˌruːm/,5,liv/ing/room,We watched a fun movie together in the living room.,我們在客廳一起看了一部有趣的電影。,Our family sits in the living room and talks about school.,我們全家人坐在客廳裡聊天談學校生活。
any,任何的/一些,Articles,/ˈen.i/,7,any,Do you have any questions about the English test?,關於英文測驗，你還有任何問題嗎？,Do you have any crayons to paint this flower?,你有任何蠟筆可以為這朵花上色嗎？
catch,接住/抓取/捕獲,Actions,/kætʃ/,7,catch,Throw the ball to me and I will catch it.,把球丟給我，我會接住它。,Try to catch the tennis ball with both hands.,試著用雙手接住網球。
goodbye,再見/告別,Interjections,/ˌɡʊdˈbaɪ/,7,good/bye,He said goodbye to his friends at the gate.,他在大門口跟他的朋友們道別。,We waved and said goodbye to our kind teacher.,我們揮手並跟我們親切的老師說再見。
handsome,英俊的/帥氣的,Personal characteristics,/ˈhæn.səm/,7,hand/some,The movie actor looked very handsome in the film.,電影演員在影片中看起來非常英俊。,My big brother looks handsome in his white shirt.,我哥哥穿他的白襯衫看起來很帥。
hot dog,熱狗,Food,/ˈhɑːt ˌdɔːɡ/,7,hot/dog,He ate a hot dog and drank some cola for lunch.,他午餐吃了一個熱狗並喝了一些可樂。,We shared a delicious hot dog at the sports day.,我們在運動會上分享了一個美味的熱狗。
invite,邀請,Actions,/ɪnˈvaɪt/,7,in/vite,I want to invite my classmates to my birthday party.,我想邀請我的同學們來參加我的生日派對。,I want to invite my classmates to my birthday party.,我想邀請我的同學們來參加我的生日派對。
learn,學習/學會/得知,Actions,/lɝːn/,7,learn,We learn how to speak English in school every day.,我們每天在學校學習如何說英文。,We learn how to speak English in our classes.,我們在課堂上學習如何說英語。
library,圖書館,Places,/ˈlaɪ.brer.i/,7,li/brary,The students are studying quietly in the school library.,學生們正在學校圖書館安靜地學習。,We should stay quiet when reading in the library.,在圖書館讀書時我們應該保持安靜。
month,月份/月,Time,/mʌnθ/,7,month,December is the last month of the whole year.,十二月是整年當中的最後一個月。,December is the last month of the year.,十二月是一年中的最後一個月。
next,下一個的/隔壁的/接著,Time,/nekst/,7,next,We will visit the zoo next Saturday morning.,我們下星期六早上將造訪動物園。,"Our next class is PE, and we will play soccer.",我們的下一堂課是體育課，我們將會踢足球。
man,男人/人/人類(單數),People,/mæn/,7,man,A kind man helped the old lady cross the street.,一位好心的男子幫助老婦人過馬路。,The man standing near the library is my uncle.,站在圖書館附近的那位先生/男人是我叔叔。
noodle,麵條/麵,Food,/ˈnuː.dļ/,7,noo/dle,Grandpa likes to eat hot beef noodles for lunch.,爺爺中午喜歡吃熱牛肉麵。,My grandmother makes beef noodle soup for dinner.,我祖母晚餐做牛肉麵湯。
or,或者/否則,Conjunctions,/ɔːr/,7,or,Do you want to play soccer or basketball?,你想踢足球還是打籃球？,Do you want to play basketball or soccer today?,你今天想打籃球還是踢足球？
place,地方/處所,Places,/pleɪs/,7,place,Taipei is a very busy and interesting place.,台北是一個非常忙碌且有趣的地方。,This beautiful park is my favorite place to relax.,這個美麗的公園是我最喜歡的放鬆地方。
plane,飛機/平面,Transportation,/pleɪn/,7,plane,The passenger plane is flying high in the blue sky.,客機正高高地飛在藍天中。,We saw a giant passenger plane flying in the sky.,我們看到一架巨大的客機在天空中飛行。
post,郵政/張貼/張貼處/柱子,Other verbs,/poʊst/,7,post,He went to the post office to mail a letter.,他去郵局寄信。,Please post this notice on the school bulletin board.,請把這個公告張貼在學校公佈欄上。
my,我的(所有格),Pronouns,/maɪ/,7,my,This is my new blue backpack for school.,這是我的新藍色上學背包。,My dog is very friendly and never barks at guests.,我的狗非常親切，從不對客人吠叫。
practice,練習/實踐,Actions,/ˈpræk.tɪs/,7,prac/tice,You should practice speaking English every single day.,你應該每一天都練習說英文。,Daily practice makes your English spelling much better.,每日練習能讓你的英文拼寫更好。
road,路/道路/途徑,Places,/roʊd/,7,road,Walk carefully because the road is very wet.,請小心行走，因為道路非常潮濕。,Look both ways before you walk across the road.,橫穿道路前請看好左右兩邊。
our,我們的(所有格),Pronouns,/ˈaʊ.ɚ/,7,our,Our teacher gave us some sweet cookies yesterday.,我們的老師昨天給了我們一些甜餅乾。,Our classroom wall is decorated with sweet paintings.,我們的教室牆壁裝飾著溫馨的畫作。
phone,電話/打電話,Other nouns,/foʊn/,7,phone,She used the phone to call her grandmother.,她用電話打給她的祖母。,Please turn off your phone when the class starts.,上課開始時請關掉你的電話。
sofa,沙發,House,/ˈsoʊ.fə/,7,so/fa,We sat on the comfortable sofa and watched TV.,我們坐在舒適的沙發上看電視。,We sat on the comfortable sofa and watched a video.,我們坐在舒服的沙發上看影片。
sorry,抱歉的/遺憾的,Interjections,/ˈsɑːr.i/,7,sor/ry,I am sorry that I broke your green marker.,很抱歉我弄壞了你的綠色麥克筆。,I am sorry that I broke your green marker.,我很抱歉我弄壞了你的綠色白板筆。
teach,教導/教學/教,Actions,/tiːtʃ/,7,teach,Our English teacher teaches us interesting songs.,我們的英文老師教我們有趣的歌曲。,Our teachers teach us how to solve math problems.,我們的老師教我們如何解答數學題。
window,窗戶,House,/ˈwɪn.doʊ/,7,win/dow,Please open the window to let the fresh air in.,請打開窗戶讓新鮮空氣進來。,We can look at the tall trees outside the window.,我們可以看著窗外的高樹。
young,年輕的/幼小的,Personal characteristics,/jʌŋ/,7,young,A young girl is reading a book under the tree.,一個年輕的女孩正在樹下看書。,The young plants need sunshine and clean water to grow.,幼小的植物需要陽光和乾淨的水來生長。
your,你/你們的(所有格),Pronouns,/jɔːr/,7,your,Please write down your name on this paper.,請在這張紙上寫下你的名字。,Is this green pen case your favorite school item?,這個綠色筆袋是你最喜歡的學用品嗎？
a lot of,許多的/很多的,Articles,/ə lɑːt ʌv/,8,a/lot/of,There are a lot of colorful fish in the pond.,池塘裡有許多色彩繽紛的魚。,We bought a lot of red apples at the morning market.,我們在早市買了許多紅蘋果。
across,橫過/在...對面/穿過,Prepositions,/əˈkrɑːs/,8,across,The dog ran across the street to chase a ball.,狗跑過街道去追一個球。,The friendly dog ran across the grass field to play.,那隻友善的狗跑過草地去玩耍。
ago,在...以前,Time,/əˈɡoʊ/,8,ago,He moved to New York three years ago.,他三年前搬到了紐約。,I started learning English three years ago.,我三年前開始學習英文。
along,沿著/順著/一起,Prepositions,/əˈlɑːŋ/,8,along,We walked along the river and saw a ship.,我們沿著河流散步並看到了一艘船。,We walked slowly along the clean river bank.,我們沿著乾淨的河岸慢慢散步。
before,在...之前/以前,Prepositions,/bɪˈfɔːr/,8,be/fore,Wash your hands before you eat the apple.,吃蘋果前請先洗手。,Remember to wash your hands before eating dinner.,記得在吃晚餐前先洗手。
